CBSA Code,CBSA_title,metro_micro_area,user_est,pop_est,inter_cbsa_connections,outer_county_inter_cbsa_connections,outer_cbsa_connections,total inter_cbsa connections,total connections,coverage est,rescaled total inter_cbsa connections,rescaled outer_cbsa_connections,rescaled total connections,normed pop_est
40100,"Rio Grande City, TX",Micropolitan Statistical Area,28318,67215,14042437.241452055,,14250527.442416415,14042437.241452055,28292964.683868468,0.4213047682808897,0.19997542308338495,0.16664781524061256,0.18167534308162828,0.19427692250393866
40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,2206219,4647703,469234716.33224344,119656131.86110146,948816853.504009,588890848.193345,1537707701.6973538,0.4746901856680601,7.443120663541181,9.847754146386736,8.763497010939895,13.43362992713417
40180,"Riverton, WY",Micropolitan Statistical Area,19861,38989,8024695.6825797595,,13608689.253572622,8024695.6825797595,21633384.936152384,0.5094000872040833,0.09451485316637777,0.1316201381839145,0.11488924329699635,0.11269304368825507
40220,"Roanoke, VA",Metropolitan Statistical Area,166457,315196,42579800.59824918,48119619.41415637,115263701.47439076,90699420.01240554,205963121.48679632,0.5281063211462075,1.030418509305249,1.0753163674689792,1.0550717757556938,0.9110363589310638
40260,"Roanoke Rapids, NC",Micropolitan Statistical Area,34033,64388,17597808.555947565,4964389.69767216,37096334.80711513,22562198.253619723,59658533.06073485,0.5285612225880599,0.2561041522722165,0.3457807120408155,0.30534525669800494,0.18610581694835382
40300,"Rochelle, IL",Micropolitan Statistical Area,27128,51116,8060584.022407601,,20042029.445322864,8060584.022407601,28102613.467730463,0.5307144534001096,0.09112469782872043,0.186056925685895,0.14325167233967517,0.14774468750593364
40340,"Rochester, MN",Metropolitan Statistical Area,116482,229964,32121603.531532627,11025712.381641516,77778566.85599785,43147315.913174145,120925882.76917198,0.5065227600841871,0.5110758115541206,0.7565297864468506,0.6458537829728004,0.6646834517101206
40380,"Rochester, NY",Metropolitan Statistical Area,570220,1081588,330022610.95023257,72747520.07099485,292300595.28142285,402770131.0212274,695070726.3026502,0.5272062929692267,4.583604930071014,2.731581572886222,3.5666649876216567,3.1262008191205832
40420,"Rockford, IL",Metropolitan Statistical Area,171560,334434,69214780.35388748,9460037.747223722,104791516.681317,78674818.1011112,183466334.7824282,0.5129861198323137,0.9201542583392679,1.0064346300407878,0.9675305270522214,0.96664149818764
40460,"Rockingham, NC",Micropolitan Statistical Area,22002,42197,12377467.953543589,,21288594.495723534,12377467.953543589,33666062.44926712,0.5214114747493898,0.14242352592123148,0.20115529325041775,0.17467294645687778,0.12196538419844827
40540,"Rock Springs, WY",Micropolitan Statistical Area,21370,41931,7713258.046591739,,13228409.33457463,7713258.046591739,20941667.38116637,0.5096468006963821,0.09080276343356991,0.12788022239227578,0.11116187436667929,0.12119654299654321
40580,"Rocky Mount, NC",Metropolitan Statistical Area,75074,142599,33683158.947933435,15806294.75421024,74062230.89235191,49489453.70214368,123551684.5944956,0.5264693300794536,0.5639882951826396,0.6930886288645216,0.6348768643766116,0.41216536297164547
40620,"Rolla, MO",Micropolitan Statistical Area,24403,44509,7761298.688163846,,16735506.33724385,7761298.688163846,24496805.025407694,0.5482711361747062,0.08493164218992737,0.15038638978457594,0.1208726291076737,0.12864794381801392
40660,"Rome, GA",Metropolitan Statistical Area,51204,98569,26600656.572618697,,42866750.27088907,26600656.572618697,69467406.84350777,0.519473668191825,0.3072269610828396,0.4065575987317517,0.3617690879638365,0.2849019113931523
40700,"Roseburg, OR",Micropolitan Statistical Area,59348,111508,16960169.639633432,,27442639.13470731,16960169.639633432,44402808.77434074,0.5322308713276177,0.19118800320589355,0.25403343061506883,0.2256962209801229,0.32230054414296205
40740,"Roswell, NM",Micropolitan Statistical Area,31931,64872,12473365.311687151,,17971614.027362376,12473365.311687151,30444979.339049526,0.4922154396349735,0.15204036958387834,0.179885811812355,0.16733021045302815,0.18750476109016603
40780,"Russellville, AR",Micropolitan Statistical Area,44121,83780,16027503.74571976,4008280.54916744,29120068.39680533,20035784.2948872,49155852.69169253,0.5266292671281929,0.2282610777343915,0.27242845012408257,0.2525132368455956,0.2421560747955067
40820,"Ruston, LA",Micropolitan Statistical Area,27253,48517,15577419.410750698,,38585150.62166351,15577419.410750698,54162570.03241421,0.5617206340045757,0.16638173276833007,0.3384269052994009,0.2608511719218342,0.14023258869483884
40860,"Rutland, VT",Micropolitan Statistical Area,33220,60278,13398135.38803872,,21494196.64985384,13398135.38803872,34892332.03789256,0.551113175619629,0.14585928328027714,0.19215225434991823,0.17127860164510128,0.1742263532647834
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,1232251,2434773,306639532.2449824,113467198.7887392,601645864.3749876,420106731.0337216,1021752595.4087093,0.5061050865932881,4.980230513945169,5.856866077904266,5.461588222800822,7.03742029957126
40940,"Safford, AZ",Micropolitan Statistical Area,18053,39252,8694574.636405757,,12828572.399231238,8694574.636405757,21523147.035636995,0.4599256088861714,0.11342042102415263,0.13742185214935024,0.1265995280221673,0.11345321374878525
40980,"Saginaw, MI",Metropolitan Statistical Area,98259,187647,59421974.444830574,,71315508.27757587,59421974.444830574,130737482.72240645,0.5236374682249116,0.6808428343049562,0.6709935222352641,0.6754346093976076,0.5423712218566775
41060,"St. Cloud, MN",Metropolitan Statistical Area,106349,201331,28073026.973836247,9708636.514282623,71727271.68056911,37781663.48811887,109508935.16868798,0.5282296318003685,0.4291299467652212,0.6690007610945519,0.5608422230564597,0.5819231880479131
41100,"St. George, UT",Metropolitan Statistical Area,93366,192620,25685698.83599538,,70157419.79538473,25685698.83599538,95843118.63138011,0.48471602118160106,0.3179322025434348,0.7131014079736266,0.5349183153097441,0.556745083875752
41140,"St. Joseph, MO-KS",Metropolitan Statistical Area,63321,120621,20079481.72220596,11282920.710007634,38587684.90447577,31362402.432213593,69950087.33668937,0.5249583405874599,0.3584387797452016,0.36215037845566317,0.36047680640634994,0.3486405812593556
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,1460567,2821402,560874292.6328945,572877672.4438378,708266152.042638,1133751965.0767322,1842018117.11937,0.5176741917670719,13.139899568968316,6.740700533820068,9.626120396972524,8.154925205779328
41220,"St. Marys, GA",Micropolitan Statistical Area,28780,55759,7006070.0497616995,,27320118.6645245,7006070.0497616995,34326188.7142862,0.5161498592155527,0.08143838810933443,0.26077852718534794,0.1799134694323092,0.16116472397377246
41400,"Salem, OH",Micropolitan Statistical Area,53923,100375,22264330.071691155,,34402464.77064201,22264330.071691155,56666794.84233317,0.5372154420921544,0.24865182501767708,0.3155049163465793,0.2853606378870345,0.2901219385008234
41420,"Salem, OR",Metropolitan Statistical Area,223301,441262,49733847.0075914,12773924.215200001,112147711.76781489,62507771.222791396,174655482.99060628,0.5060508269463493,0.7410890258659899,1.0918458757193825,0.9336884600577028,1.2754150617858064
41460,"Salina, KS",Micropolitan Statistical Area,30375,59473,8620349.825494602,1011387.6768299041,19630350.659036294,9631737.502324507,29262088.1613608,0.5107359642190574,0.11314586964558977,0.18936367664207385,0.15499681712955674,0.17189959699586022
41500,"Salinas, CA",Metropolitan Statistical Area,204547,441520,42881737.9298144,,84927304.53248306,42881737.9298144,127809042.46229745,0.4632791266533792,0.5553415297299152,0.9031703406292448,0.7463331873491119,1.2761607799440453
41540,"Salisbury, MD-DE",Metropolitan Statistical Area,229900,428935,81987984.26616667,36925852.311468676,152761789.59198236,118913836.57763535,271675626.1696177,0.535978644783009,1.331114493223688,1.4042108074865438,1.3712514393001798,1.23978534187647
41620,"Salt Lake City, UT",Metropolitan Statistical Area,619091,1302051,233161464.8116476,13474326.17686389,380027090.13627183,246635790.98851147,626662881.1247833,0.4754736949627933,3.112147070967421,3.9377951637887985,3.565507726889979,3.763422766096494
41660,"San Angelo, TX",Metropolitan Statistical Area,63625,123756,23819403.161766063,496403.45017452,43806243.94646223,24315806.611940585,68122050.5584028,0.5141164872814248,0.2837642344865556,0.4197972079894977,0.35845949343597816,0.35770192399609363
41700,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area,1318529,2661164,351660147.1082576,114938822.6504477,639156442.5151573,466598969.75870526,1105755412.2738626,0.4954707789523682,5.650101324694425,6.355565288303269,6.037469270011809,7.691776421903912
41740,"San Diego-Carlsbad, CA",Metropolitan Statistical Area,1677902,3315091,531279717.654117,,921363176.0565326,531279717.654117,1452642893.7106495,0.5061405554176341,6.297709247144861,8.968602452175046,7.764287933463647,9.581874243851887
41760,"Sandpoint, ID",Micropolitan Statistical Area,27058,49178,6626097.037764036,,18432702.034604043,6626097.037764036,25058799.072368078,0.5502053763878156,0.07225426191922173,0.16505520829607614,0.12321095676953833,0.14214313017776828
41780,"Sandusky, OH",Micropolitan Statistical Area,40010,75055,18517701.57280612,,32613882.385538198,18517701.57280612,51131583.95834432,0.533075744454067,0.20841485275596114,0.3014245621020775,0.2594861786670164,0.2169375052969295
41820,"Sanford, NC",Micropolitan Statistical Area,33589,64597,11688113.270881224,,28472146.840401344,11688113.270881224,40160260.11128257,0.5199777079430933,0.13486218557434848,0.269774284610721,0.2089419760356961,0.18670990646413638
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,2404613,4804901,492472595.64520913,339780143.0167799,1286960689.1507902,832252738.661989,2119213427.8127792,0.5004500613019914,9.977574823197884,12.669795194930728,11.455864186703907,13.887991954416385
41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,960719,2023898,196196159.93339413,6353458.987690501,443061385.19845384,202549618.92108464,645611004.1195385,0.4746874595458862,2.560083785879839,4.598553065991003,3.6794005722254193,5.849835228771501
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metropolitan Statistical Area,153021,283804,44630213.5967226,,90941527.91802058,44630213.5967226,135571741.51474318,0.5391784470972925,0.49662313704680816,0.8309880587770306,0.6802218173454656,0.8203015355844352
42100,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,138882,269608,36163532.293853514,,83332285.53333884,36163532.293853514,119495817.82719237,0.5151256639268864,0.4211998071796065,0.7970125611440161,0.6275573560224251,0.7792696945985553
42140,"Santa Fe, NM",Metropolitan Statistical Area,83578,157119,32465107.0963362,,66514566.187175654,32465107.0963362,98979673.28351185,0.5319407582787569,0.36617111203947394,0.6160536782597311,0.5033808084103665,0.45413368722601116
42200,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area,226983,449461,62692520.2911659,,117250203.98258525,62692520.2911659,179942724.27375114,0.5050115582887058,0.744809004216327,1.1438717883531297,0.9639330682619559,1.2991132911633234
42220,"Santa Rosa, CA",Metropolitan Statistical Area,254514,487721,79228184.9809157,,133137443.42147364,79228184.9809157,212365628.40238935,0.5218434309779567,0.9108985130681401,1.2569704045175467,1.1009254519879959,1.4096992474974852
42300,"Sault Ste. Marie, MI",Micropolitan Statistical Area,18481,36253,7337678.65643736,,9679491.543057617,7337678.65643736,17017170.199494977,0.509778501089565,0.08635901489313974,0.09354834072426978,0.09030665009363338,0.1047849627543746
42340,"Savannah, GA",Metropolitan Statistical Area,214044,418829,89080007.56703407,25373038.06920162,188605102.54467657,114453045.63623568,303058148.18091226,0.5110534370829145,1.3436666794309364,1.8182440899173002,1.6042555767769076,1.2105751569649947
42380,"Sayre, PA",Micropolitan Statistical Area,31036,59124,12867865.917188639,,19253872.600204106,12867865.917188639,32121738.517392747,0.5249306542182531,0.14707372739029398,0.1807095976803753,0.1655430732893784,0.17089085421591713
42420,"Scottsbluff, NE",Micropolitan Statistical Area,19172,37526,7236107.2459722245,390551.484825816,12652130.55099758,7626658.7307980405,20278789.28179562,0.5108991099504344,0.0895632149464832,0.1220094806534328,0.1073793528762327,0.10846441707777732
42460,"Scottsboro, AL",Micropolitan Statistical Area,27946,52253,14528661.90329376,,21453865.534253266,14528661.90329376,35982527.43754703,0.5348209672171933,0.1629850235124681,0.197634240573333,0.18201079479504678,0.15103105008700896
42540,"Scranton--Wilkes-Barre--Hazleton, PA",Metropolitan Statistical Area,304335,565778,148286927.1681561,29298074.229515515,160918568.4692713,177585001.3976716,338503569.8669429,0.5379053268243021,1.9807558401510148,1.4738910287798959,1.702438037027369,1.6353136749302002
42620,"Searcy, AR",Micropolitan Statistical Area,40972,76869,17886360.999189816,,33949312.016377725,17886360.999189816,51835673.01556754,0.5330107065266882,0.2013337423746859,0.31380517769173694,0.2630914380942364,0.22218065544826693
42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,2148306,4131015,636538131.684436,259621226.10067183,1058438669.3143743,896159357.7851079,1954598027.099482,0.5200431370982677,10.338948731883251,10.027470401231248,10.167917003574512,11.940205028901408
42680,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,87974,164020,24467858.808016088,,60131221.003445454,24467858.808016088,84599079.81146154,0.536361419339105,0.27369630954033985,0.5523413426130858,0.4266993819894548,0.474080202768668
42700,"Sebring, FL",Metropolitan Statistical Area,53351,101638,16363017.8521337,,34542096.710845016,16363017.8521337,50905114.562978715,0.5249119423837542,0.18702835658418665,0.3242106689156114,0.26235471370931945,0.2937724890196432
42740,"Sedalia, MO",Micropolitan Statistical Area,21678,43058,7248353.525363106,,14438158.745133,7248353.525363106,21686512.270496108,0.5034604486971063,0.08637827279569703,0.14129002892234568,0.11653013772687756,0.12445400177303564
42780,"Selinsgrove, PA",Micropolitan Statistical Area,20750,39554,6754428.526683999,,16380216.24096975,6754428.526683999,23134644.76765375,0.5245992819942358,0.07724874379962483,0.1538356528552043,0.11930236401192333,0.11432610864718873
42820,"Selma, AL",Micropolitan Statistical Area,18907,37402,15359507.199060192,,23685286.897459686,15359507.199060192,39044794.09651988,0.5055077268595263,0.18229719685439674,0.2308425756784596,0.20895330491912836,0.1081060099009494
42860,"Seneca, SC",Micropolitan Statistical Area,43279,79609,20258113.144994836,,34027872.83264253,20258113.144994836,54285985.977637365,0.5436445628006884,0.22357047561093726,0.3083790117435668,0.270138564247265,0.23010029790398057
42900,"Seneca Falls, NY",Micropolitan Statistical Area,17260,33268,4981612.410671161,,13487233.40819868,4981612.410671161,18468845.81886984,0.5188168810869304,0.057608470280345846,0.1280777928719056,0.09630294385849719,0.09615717708638
