user_loc,user_est,pop_est,metro_micro_area,CBSA_code,CBSA_title,inter_county_connections,outer_county_connections,total connections,coverage est,normed pop_est,rescaled inter_county_connections,rescaled outer_county_connections,rescaled total connections
48305,2780,5487,Metropolitan Statistical Area,31180,"Lubbock, TX",579990.43010804,2850956.45604734,3430946.88615538,0.5066520867505012,0.05133829486408239,0.03196171283303071,0.07102183289611562,0.058861587656430306
48307,3966,7472,,,,1011116.02035951,2960589.449266578,3971705.469626088,0.5307815845824411,0.06991065048741091,0.05318684119570151,0.07040013114294418,0.06504126827201043
48309,135547,265782,Metropolitan Statistical Area,47380,"Waco, TX",71756355.83957537,100083164.18843919,171839520.02801454,0.5099931522826978,2.486749532634508,3.928394399347521,2.4768962193273905,2.9287784410280606
48311,324,573,,,,29068.818816132,427406.88279481203,456475.701610944,0.5654450261780105,0.005361188802099364,0.0014353441708789814,0.009540304822086183,0.0070170583748786364
48313,7230,13391,,,,2550236.83345209,7352140.1291246405,9902376.96257673,0.5399148681950564,0.12529088874155775,0.13187858537872116,0.1718698177335877,0.15941969745523216
48315,5161,9558,,,,1271597.2190844,5352508.348633927,6624105.567718327,0.5399665201925089,0.08942799750517579,0.06575091330962672,0.12511277250421832,0.10663216454592084
48317,2588,5358,Metropolitan Statistical Area,33260,"Midland, TX",206033.865217232,2273340.209846552,2479374.075063784,0.4830160507652109,0.05013132565732704,0.011909570523304668,0.0594037687252249,0.044617815772064466
48319,2170,3911,,,,765757.23424011,2056836.61096081,2822593.84520092,0.5548453081053439,0.03659268657069915,0.038533480997229835,0.04678848723349673,0.04421852840781951
48321,18378,36043,Micropolitan Statistical Area,13060,"Bay City, TX",7032430.040197411,14613656.438864447,21646086.479061857,0.5098909635712898,0.33723093890762196,0.38507662628882794,0.36173681082202996,0.3690029912502231
48323,24912,58712,Micropolitan Statistical Area,20580,"Eagle Pass, TX",11872594.189394351,10883117.341371024,22755711.530765377,0.4243084888949448,0.5493300470311655,0.781237274651746,0.32372982979108955,0.46616161749430446
48325,27298,51829,Metropolitan Statistical Area,41700,"San Antonio-New Braunfels, TX",7129131.728019498,19762847.604648326,26891979.332667824,0.526693549943082,0.4849302869528934,0.3779181001874584,0.47359013739844913,0.44380539958435705
48327,1071,1907,,,,152434.33836182998,985888.05032466,1138322.38868649,0.5616151022548506,0.017842560289011322,0.007578148047407125,0.022156438545020307,0.017617906985464483
48329,87726,177977,Metropolitan Statistical Area,33260,"Midland, TX",26925644.3699727,75426447.19454867,102352091.56452137,0.4929063867803143,1.6652151822534704,1.5251786353076138,1.9313915804814168,1.8049288603241211
48331,12608,24738,,,,4378305.631249984,10716159.833061503,15094465.464311488,0.5096612498989409,0.2314573971838291,0.2398520931218485,0.2653803089155049,0.2574328329712144
48333,2306,4376,,,,523708.02099451004,1979264.9937625541,2502973.014757064,0.5269652650822669,0.040943389525282405,0.027747655190195508,0.04740597483712217,0.041285922274030475
48335,3534,8916,,,,951147.716982924,2868612.29466951,3819760.011652434,0.39636608344549124,0.0834212205227189,0.06699934201611255,0.09134536127356714,0.08376592822772393
48337,10642,19995,,,,3485958.728610234,8870381.461447442,12356340.190057676,0.5322330582645661,0.1870802270470799,0.1828687297137142,0.21035438913903917,0.2017975194047268
48339,337155,666989,Metropolitan Statistical Area,26420,"Houston-The Woodlands-Sugar Land, TX",82190694.03591229,257453487.52997327,339644181.56588554,0.5054880965053397,6.240582823601139,4.539737775535433,6.428341998769861,5.840379379142874
48341,9841,21245,Micropolitan Statistical Area,20300,"Dumas, TX",2569519.87888128,6942659.562790016,9512179.441671295,0.4632148740880207,0.19877566509703487,0.15487757452431863,0.1891709745622956,0.17849471053927357
48343,6104,11756,,,,1449924.35209272,6140363.253551967,7590287.605644688,0.5192242259271861,0.10999325577221662,0.07796675330765805,0.14926233944188946,0.12706650874553882
48345,545,1032,,,,130320.6643032,615099.4647091699,745420.1290123699,0.5281007751937985,0.009655753654042833,0.0068899414809366,0.014700756083929397,0.012269083550903235
48347,34435,64736,Micropolitan Statistical Area,34860,"Nacogdoches, TX",14233727.60776539,31790644.849076957,46024372.45684235,0.5319296836381612,0.6056927020815086,0.7471081557409208,0.7543210700661647,0.75207553659248
48349,26929,53342,Micropolitan Statistical Area,18620,"Corsicana, TX",10380034.78315373,20292921.8707848,30672956.653938532,0.5048367140339695,0.49908644516855893,0.5740727478775839,0.5073466297492651,0.5281198879733078
48351,6237,11867,Metropolitan Statistical Area,13140,"Beaumont-Port Arthur, TX",1337948.382649032,6381281.402325522,7719229.784974555,0.5255751242942613,0.11103181067105262,0.07107610338228856,0.15324426222126294,0.12766356864526804
48353,7289,14606,Micropolitan Statistical Area,45020,"Sweetwater, TX",2106506.915960952,5556738.476845673,7663245.392806625,0.4990414897987129,0.13665885452611398,0.11785426088515391,0.1405382144050204,0.13347621773522794
48355,177320,355260,Metropolitan Statistical Area,18580,"Corpus Christi, TX",62207522.36903777,101179746.8495814,163387269.21861917,0.49912739965095987,3.3239370573016056,3.4797700543155075,2.558546444648213,2.845342926483136
